Rk,G,Date,Age,Team,Away,Opponent,WL,WL(score),Started Game,Minutes Played,FGM,FGA,FG_Percent,3PM,3PA,3P_Percent,FTM,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TO,PF,PTS,Games,Season,,
1,1,10/28/2010,20-052,WAS,@,ORL,L,L (-29),1,35:16:00,6,19,0.316,0,0,,2,3,0.667,0,1,1,9,3,0,3,3,14,1,1,,
2,2,10/30/2010,20-054,WAS,@,ATL,L,L (-4),1,42:23:00,9,17,0.529,2,3,0.667,8,10,0.8,0,5,5,9,0,0,3,1,28,2,1,,
3,3,11/2/2010,20-057,WAS,,PHI,W,W (+1),1,44:48:00,9,16,0.563,0,1,0,11,14,0.786,0,2,2,13,9,0,8,5,29,3,1,,
4,4,11/5/2010,20-060,WAS,@,NYK,L,L (-21),1,34:45:00,4,11,0.364,0,2,0,5,6,0.833,0,4,4,7,0,0,9,2,13,4,1,,
5,5,11/6/2010,20-061,WAS,,CLE,L,L (-5),1,43:04:00,5,14,0.357,0,1,0,3,4,0.75,0,4,4,10,1,1,6,4,13,5,1,,
6,6,11/10/2010,20-065,WAS,,HOU,W,W (+7),1,41:59:00,8,16,0.5,2,4,0.5,1,2,0.5,1,9,10,13,6,1,1,3,19,6,1,,
7,7,11/12/2010,20-067,WAS,,CHA,L,L (-8),1,40:28:00,6,16,0.375,1,4,0.25,0,0,,1,3,4,11,4,0,1,2,13,7,1,,
8,8,11/13/2010,20-068,WAS,@,CHI,L,L (-7),1,30:48:00,7,14,0.5,2,4,0.5,0,1,0,0,2,2,6,3,0,4,1,16,8,1,,
9,9,11/23/2010,20-078,WAS,,PHI,W,W (+2),0,35:56:00,7,15,0.467,3,7,0.429,8,8,1,0,3,3,6,1,0,1,4,25,9,1,,
10,10,11/25/2010,20-080,WAS,@,ATL,L,L (-20),1,33:08:00,3,12,0.25,0,3,0,4,4,1,0,1,1,7,1,1,3,1,10,10,1,,
11,11,12/1/2010,20-086,WAS,@,TOR,L,L (-19),0,31:51:00,5,11,0.455,1,3,0.333,8,9,0.889,0,1,1,8,2,0,2,3,19,11,1,,
12,12,12/3/2010,20-088,WAS,,POR,W,W (+4),1,40:06:00,3,13,0.231,0,2,0,4,4,1,0,4,4,2,0,0,4,2,10,12,1,,
13,13,12/5/2010,20-090,WAS,@,PHO,L,L (-17),1,42:38:00,4,12,0.333,1,2,0.5,3,4,0.75,0,2,2,12,3,1,4,4,12,13,1,,
14,14,12/7/2010,20-092,WAS,@,LAL,L,L (-7),1,37:53:00,7,14,0.5,2,5,0.4,6,6,1,0,5,5,14,1,3,3,3,22,14,1,,
15,15,12/10/2010,20-095,WAS,,NYK,L,L (-6),1,36:43:00,4,14,0.286,0,1,0,0,2,0,0,5,5,6,1,0,1,2,8,15,1,,
16,16,12/26/2010,20-111,WAS,@,SAS,L,L (-14),0,19:16,2,9,0.222,0,1,0,0,0,,0,6,6,4,0,1,4,4,4,16,1,,
17,17,12/27/2010,20-112,WAS,@,HOU,L,L (-7),0,27:09:00,2,7,0.286,0,1,0,9,13,0.692,0,5,5,6,0,2,3,3,13,17,1,,
